team,xG1,xG2,xG3,xA1,xA2,xA3
Spain,3,2.75,1.625,0.5,0.5,0.875
Germany,3.875,1.875,1.625,0.375,0.875,0.875
Brazil,1.625,3.375,2,0.875,0.375,0.75
Portugal,2.25,2.375,1.25,0.5,0.625,1
France,1.875,2.625,1.5,0.625,0.375,1
Switzerland,2.25,1.75,1.25,0.5,0.75,1
Uruguay,1.875,1.875,0.875,0.625,0.625,1.625
Norway,2.375,1.375,1,0.625,1.125,1.5
England,1.5,2.125,2.125,0.75,0.625,0.625
Canada,1.5,2,1,0.75,0.5,1.25
Belgium,1.625,1.875,2.125,0.875,0.625,0.625
Argentina,1.875,1.625,2.375,0.625,0.875,0.625
Colombia,1.75,1.625,1,0.5,0.625,1.25
Ecuador,1,2.25,0.875,0.75,0.5,1.625
Mexico,1.75,1.375,1.375,0.5,0.875,0.875
Austria,2.25,0.875,1.375,0.75,1.625,0.875
Netherlands,1.5,1.5,1.75,1,0.75,0.75
USA,1.375,1.5,1.25,0.875,0.75,1.25
Turkey,1.625,1.25,1.25,0.875,1,1.25
Scotland,1.75,0.875,0.75,0.75,1.375,2
Czech Republic,1.125,1.375,0.875,1.125,0.875,1.375
Japan,1,1.5,1.25,1.5,0.75,1
Croatia,0.75,1.75,1.5,1.5,0.75,0.75
Egypt,0.875,1.5,1.125,1.625,0.75,0.875
Algeria,0.625,1.75,0.875,1.875,0.75,1.375
Morocco,0.875,1.375,2.125,1.625,0.875,0.625
Sweden,1.375,0.75,1,0.875,1.5,1.25
South Korea,1.125,0.875,1.375,1.125,1.375,0.875
Iran,1.375,0.625,0.875,0.875,1.875,1.125
Ghana,1.375,0.625,0.75,0.875,2.125,1.5
Paraguay,0.875,1,1.25,1.375,1.25,1
Senegal,0.625,1.125,1.875,1.875,1.375,0.625
Ivory Coast,0.75,0.875,2.25,1,1.875,0.5
Tunisia,0.875,0.75,0.75,1.375,1.5,1.75
New Zealand,0.875,0.75,0.625,1.375,1.5,2.125
Australia,0.875,0.75,1,1.625,1.5,1.25
Panama,0.875,0.75,0.625,1.375,1.75,2.125
Bosnia & Herzegovina,0.75,0.75,1.625,1.5,1.75,0.625
Jordan,0.75,0.75,0.625,2.25,1.75,2.375
South Africa,0.5,0.875,0.875,1.75,1.375,1.375
DR Congo,0.5,0.625,1.25,2.25,1.625,1
Uzbekistan,0.5,0.625,1,1.75,2.375,1.25
Saudi Arabia,0.625,0.5,1.125,1.875,2.75,1.125
Cape Verde,0.5,0.625,1.125,3,1.875,1.125
Haiti,0.75,0.375,0.625,1.75,3.375,2.125
Qatar,0.5,0.5,0.625,2.25,2,1.625
Iraq,0.625,0.375,0.625,2.375,2.625,1.875
Curaçao,0.375,0.5,0.5,3.875,2.25,2.25
